ID;Title;Price;Postage;Sell_Date;Location;Condition;Product_Type;Product_Line;Brand;Screen_Size;Screen_Resolution;Storage_Type;Storage_Capacity;Model;Operating_System;Operating_System_Edition;RAM_Memory;Processor;Processor_Speed;Seller;Seller_Notes;URL
1;Dell Latitude E7240 i7 vPro 16GB RAM 128GB SSD;199.99;;06-Jun 15:01;London, United Kingdom;Used;Ultrabook;;Dell;12.5 in;;SSD (Solid State Drive);;Dell Latitude E7240;Windows 10 Pro;;16 GB;Intel Core i7 4th Gen.;2.70 GHz;rbo-85;;https://www.ebay.co.uk/itm/Dell-Latitude-E7240-i7-vPro-16GB-RAM-128GB-SSD-/124197537056?hash=item1ceac00520%3Ag%3Ay3wAAOSwOvZe2VFm&nma=true&si=g1AeayKqmUv8eO1KgNKgKbybiC4%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
2;Razer Blade Advanced 2018 15.6 inch, i7-8750H, 16GB Ram, 256GB M2 SSD, GTX1060;1000.00;;06-Jun 15:01;Helston, United Kingdom;Manufacturer refurbished;Notebook/Laptop;;Razer;15.6 in;;SSD (Solid State Drive);;Razer Blade;Windows 10;Home;16 GB;Intel Core i7 8th Gen.;;willia43;;https://www.ebay.co.uk/itm/Razer-Blade-Advanced-2018-15-6-inch-i7-8750H-16GB-Ram-256GB-M2-SSD-GTX1060-/114250663650?epid=5025994020&hash=item1a99dec6e2%3Ag%3AwMUAAOSwDAxe25DA&nma=true&si=K%252F6NuQZHGN6VuTgUUU1iGiNYmK0%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
3;"Razer Blade 14 "" 256GB SDD Intel I7-7700HQ 2.8GHZ 16GB RAM Gaming Laptop";950.00;50.24;06-Jun 15:01;Wilmslow, United Kingdom;Used;Notebook/Laptop;;Razer;14 in;1920 x 1080;;;Razer Blade;Windows 10;;16 GB;Intel Core i7 7th Gen., Intel Core i7 1st Gen.;2.8 GHz;maggie89081;;https://www.ebay.co.uk/itm/Razer-Blade-14-034-256GB-SDD-Intel-I7-7700HQ-2-8GHZ-16GB-RAM-Gaming-Laptop-/203002419387?epid=22002960897&hash=item2f43e318bb%3Ag%3A2NAAAOSwxOJezL%7Ei&nma=true&si=KFjdbkDIuaehUH27SrTO5RdSLtw%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
4;"HP ZBook 15 Core i7-4800QM 2.7Ghz 16GB 512GB SSD 15.6"" Quadro Win-10 Laptop";315.00;22.36;06-Jun 15:01;Leigh-on-sea, Essex, United Kingdom;Seller refurbished;Laptop;Zbook;HP;"15.6""";;SSD (Solid State Drive);;zbook 15;Windows 10 professional;;16GB;Intel Core i7;2.7GHz;tecuk;Perfect working order, Good used condition;https://www.ebay.co.uk/itm/HP-ZBook-15-Core-i7-4800QM-2-7Ghz-16GB-512GB-SSD-15-6-034-Quadro-Win-10-Laptop-/274387481528?hash=item3fe2c4b3b8%3Ag%3AKNYAAOSwrCZbDWT%7E&nma=true&si=lotoZl80%252Fk9%252BdpNSepYi8TL4lTI%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
5;alienware r4 17 i7-7700hq 16gb geforce 1060 6gb ssd 256 hdd 1tb silver-black;850.00;;06-Jun 15:01;Nuneaton, United Kingdom;Used;Gaming Laptop;;Alienware;17.3 in;1920 x 1080;HDD + SSD;;Alienware 17 R4;Windows 10;;16 GB;Intel Core i7 7th Gen.;2.80 GHz;svetlozaminche-0;;https://www.ebay.co.uk/itm/alienware-r4-17-i7-7700hq-16gb-geforce-1060-6gb-ssd-256-hdd-1tb-silver-black-/392827072548?hash=item5b76517024%3Ag%3AfF4AAOSwqShe2n31&nma=true&si=rS9BRs6blMllxSHswnVSHzc92eo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
6;"Lenovo ThinkPad X1 Carbon (7th Gen) 14"" UHD 4K Laptop, i7-8565U 16GB 512GB, W10P";1399.00;49.99;06-Jun 15:01;Princes Risborough, United Kingdom;New;Ultrabook;;Lenovo;14 in;3840 x 2160;SSD (Solid State Drive);;Lenovo ThinkPad X1;Windows 10 Pro;;16 GB;Intel Core i7 8th Gen.;1.80 GHz;bass-technology;;https://www.ebay.co.uk/itm/Lenovo-ThinkPad-X1-Carbon-7th-Gen-14-UHD-4K-Laptop-i7-8565U-16GB-512GB-W10P/133404229850?hash=item1f0f8300da:g:SPwAAOSw6xZeo13j
7;"HP ZBook 15 Core i7-4800QM 2.7Ghz 16GB 1TB HDD 15.6"" Quadro Win-10 Laptop";315.00;22.36;06-Jun 15:01;Leigh-on-sea, Essex, United Kingdom;Seller refurbished;Laptop;Zbook;HP;"15.6""";;HDD (Hard Disk Drive);;zbook 15;Windows 10 professional;;16GB;Intel Core i7;2.7GHz;tecuk;Perfect working order, Good used condition;https://www.ebay.co.uk/itm/HP-ZBook-15-Core-i7-4800QM-2-7Ghz-16GB-1TB-HDD-15-6-034-Quadro-Win-10-Laptop-/303588127809?hash=item46af433441%3Ag%3AKNYAAOSwrCZbDWT%7E&nma=true&si=xaiQQhECrc20DyYoJIPYLNsfido%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
8;HP EliteBook x360 1030 G2 Laptop 13.3 FHD Touch, i7-7600U, 16GB RAM, 256GB SSD;679.95;29.95;06-Jun 15:01;Liverpool, United Kingdom;Opened - never used;Convertible 2-in-1 Laptop/Tablet;;HP;13.3 in;1920 x 1080;SSD (Solid State Drive);256GB;HP EliteBook x360 1030 G2;Windows 10;Professional;16 GB;Intel Core i7 7th Gen.;3.90 GHz;the-tech-saver;In excellent condition top spec model and with long HP warranty !;https://www.ebay.co.uk/itm/HP-EliteBook-x360-1030-G2-Laptop-13-3-FHD-Touch-i7-7600U-16GB-RAM-256GB-SSD-/333617572753?hash=item4dad282b91%3Ag%3AmdoAAOSwNpZe2Qn1&nma=true&si=HCYLGX7K%252B4aFw9BbSq8U%252BH%252B2qeQ%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
9;"HP EliteBook 840 G6 Laptop 14"" FHD, intel i7 8565U, 16GB RAM, 256GB SSD";749.95;29.95;06-Jun 15:01;Liverpool, United Kingdom;Opened - never used;Notebook/Laptop;;HP;14 in;1920 x 1080;SSD (Solid State Drive);256 GB;HP EliteBook 840 G6;Windows 10;Professional;16 GB;Intel Core i7 8th Gen.;4.60 GHz;the-tech-saver;Fantastic machine with huge power and a long HP warranty !;https://www.ebay.co.uk/itm/HP-EliteBook-840-G6-Laptop-14-034-FHD-intel-i7-8565U-16GB-RAM-256GB-SSD-/333609513198?epid=17034193987&hash=item4dacad30ee%3Ag%3ACqMAAOSw1p1eLMaT&nma=true&si=SXlkxy4%252FkqbyjD7YOwk9l9cpF%252F0%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
10;"HP EliteBook 840 G6 14"" FHD i7-8665U -16gb ram - 512gb ssd - sureview - Ref-1";750.00;;06-Jun 15:01;London /Paddington, London, United Kingdom;New;Notebook/Laptop;;HP;14 in;;;;Hp Elitebook 840;Windows 10;;16 GB;Intel Core i7 8th Gen.;;hussainsid;;https://www.ebay.co.uk/itm/HP-EliteBook-840-G6-14-034-FHD-i7-8665U-16gb-ram-512gb-ssd-sureview-Ref-1-/203008383091?hash=item2f443e1873%3Ag%3AjgIAAOSwriZe2oSL&nma=true&si=7yp6mNU7gNiGqAByqzztxBAZajA%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
